GROUP,RECALL
simple name,24
simple name,43
simple name,38
simple name,65
simple name,35
simple name,15
simple name,44
simple name,44
simple name,18
simple name,27
simple name,0
simple name,38
simple name,50
simple name,31
simple name,7
simple name,46
simple name,33
simple name,31
simple name,0
simple name,29
simple name,0
simple name,0
simple name,52
simple name,0
simple name,29
simple name,42
simple name,39
simple name,26
simple name,51
simple name,0
simple name,42
simple name,20
simple name,37
simple name,51
simple name,0
simple name,30
simple name,43
simple name,30
simple name,99
simple name,39
simple name,35
simple name,19
simple name,24
simple name,34
simple name,3
simple name,60
simple name,0
simple name,29
simple name,40
simple name,40
elaborate name,39
elaborate name,71
elaborate name,9
elaborate name,86
elaborate name,26
elaborate name,45
elaborate name,0
elaborate name,38
elaborate name,5
elaborate name,53
elaborate name,29
elaborate name,0
elaborate name,62
elaborate name,0
elaborate name,1
elaborate name,35
elaborate name,10
elaborate name,6
elaborate name,33
elaborate name,48
elaborate name,9
elaborate name,26
elaborate name,83
elaborate name,33
elaborate name,12
elaborate name,5
elaborate name,0
elaborate name,0
elaborate name,25
elaborate name,36
elaborate name,39
elaborate name,1
elaborate name,37
elaborate name,2
elaborate name,13
elaborate name,26
elaborate name,7
elaborate name,35
elaborate name,3
elaborate name,8
elaborate name,55
elaborate name,50
pairwise name,5
pairwise name,21
pairwise name,22
pairwise name,3
pairwise name,32
pairwise name,29
pairwise name,32
pairwise name,0
pairwise name,4
pairwise name,41
pairwise name,0
pairwise name,27
pairwise name,5
pairwise name,9
pairwise name,66
pairwise name,54
pairwise name,1
pairwise name,15
pairwise name,0
pairwise name,26
pairwise name,1
pairwise name,30
pairwise name,2
pairwise name,13
pairwise name,0
pairwise name,2
pairwise name,17
pairwise name,14
pairwise name,5
pairwise name,29
pairwise name,0
pairwise name,45
pairwise name,35
pairwise name,7
pairwise name,11
pairwise name,4
pairwise name,9
pairwise name,23
pairwise name,4
pairwise name,0
pairwise name,8
pairwise name,2
pairwise name,18
pairwise name,0
pairwise name,5
pairwise name,21
pairwise name,14
